Domains,number,ID
PF00004,33,"['YBL022C', 'YBR080C', 'YBR186W', 'YDL007W', 'YDL126C', 'YDR258C', 'YDR375C', 'YDR394W', 'YER017C', 'YER047C', 'YGL048C', 'YGR028W', 'YGR270W', 'YJR068W', 'YKL145W', 'YKL197C', 'YLL026W', 'YLL034C', 'YLR397C', 'YML065W', 'YMR078C', 'YMR089C', 'YNL218W', 'YNL290W', 'YNL329C', 'YOL094C', 'YOR117W', 'YOR217W', 'YOR259C', 'YPL074W', 'YPL217C', 'YPR024W', 'YPR173C']"
PF00005,30,"['YCR011C', 'YDR011W', 'YDR061W', 'YDR091C', 'YDR135C', 'YDR406W', 'YER036C', 'YFL028C', 'YFR009W', 'YGR281W', 'YHL035C', 'YIL013C', 'YKL188C', 'YKL209C', 'YKR103W', 'YKR104W', 'YLL015W', 'YLL048C', 'YLR188W', 'YLR249W', 'YMR301C', 'YNL014W', 'YNR070W', 'YOL075C', 'YOR153W', 'YOR328W', 'YPL058C', 'YPL147W', 'YPL226W', 'YPL270W']"
PF00006,4,"['YBL099W', 'YBR127C', 'YDL185W', 'YJR121W']"
PF00009,16,"['YAL035W', 'YBR118W', 'YDR172W', 'YDR385W', 'YER025W', 'YJL102W', 'YKL173W', 'YKR084C', 'YLR069C', 'YLR289W', 'YNL163C', 'YOL023W', 'YOR076C', 'YOR133W', 'YOR187W', 'YPR080W']"
PF00010,6,"['YBL103C', 'YFR034C', 'YJR060W', 'YOL067C', 'YOR032C', 'YOR344C']"
PF00011,2,"['YBR072W', 'YDR171W']"
PF00012,14,"['YAL005C', 'YBL075C', 'YBR169C', 'YDL229W', 'YEL030W', 'YER103W', 'YHR064C', 'YJL034W', 'YJR045C', 'YKL073W', 'YLL024C', 'YLR369W', 'YNL209W', 'YPL106C']"
PF00013,5,"['YBL032W', 'YBR233W', 'YJL080C', 'YLR116W', 'YNL210W']"
PF00018,20,"['YAR014C', 'YBL007C', 'YBL085W', 'YBR200W', 'YCL027W', 'YCR088W', 'YDR162C', 'YDR388W', 'YER114C', 'YER118C', 'YFR024C-A', 'YGR136W', 'YHL002W', 'YHR016C', 'YHR114W', 'YKL129C', 'YLR191W', 'YLR310C', 'YMR109W', 'YPR154W']"
PF00022,11,"['YDL029W', 'YDR106W', 'YFL039C', 'YHR129C', 'YJL081C', 'YJR065C', 'YLR085C', 'YMR033W', 'YNL059C', 'YOR141C', 'YPR034W']"
PF00023,2,"['YDL019C', 'YMR068W']"
PF00025,7,"['YBR164C', 'YDL137W', 'YDL192W', 'YMR138W', 'YOR094W', 'YPL051W', 'YPL218W']"
PF00026,9,"['YDR144C', 'YDR349C', 'YGL258W-A', 'YGL259W', 'YIL015W', 'YIR039C', 'YLR120C', 'YLR121C', 'YPL154C']"
PF00027,2,"['YIL033C', 'YML059C']"
PF00032,1,['Q0105']
PF00033,4,"['Q0105', 'Q0110', 'Q0115', 'Q0120']"
PF00034,2,"['YEL039C', 'YJR048W']"
PF00035,2,"['YMR024W', 'YMR239C']"
PF00037,1,['YDR091C']
PF00042,2,"['YGR234W', 'YNL234W']"
