go_f,count,Systematic Name
(3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase activity,1,['YKL182W']
(D)-2-hydroxyglutarate-pyruvate transhydrogenase activity,1,['YEL071W']
(R)-2-hydroxyglutarate dehydrogenase activity,1,['YDL178W']
(R)-carnitine transmembrane transporter activity,1,['YGL077C']
"(R,R)-butanediol dehydrogenase activity",2,"['YAL060W', 'YAL061W']"
(S)-2-(5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido)succinate AMP-lyase (fumarate-forming) activity,1,['YLR359W']
"1,3-beta-D-glucan synthase activity",3,"['YGR032W', 'YLR342W', 'YMR306W']"
"1,3-beta-glucanosyltransferase activity",9,"['YGL028C', 'YGR279C', 'YGR282C', 'YLR343W', 'YMR215W', 'YMR305C', 'YMR307W', 'YOL030W', 'YOL132W']"
"1,4-alpha-glucan branching enzyme activity",1,['YEL011W']
"1,4-alpha-glucan branching enzyme activity (using a glucosylated glycogenin as primer for glycogen synthesis)",1,['YEL011W']
1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase activity,1,['YIL020C']
1-acyl dihydroxyacetone phosphate reductase activity,1,['YIL124W']
1-acylglycerol-3-phosphate O-acyltransferase activity,5,"['YDL052C', 'YLR099C', 'YOR175C', 'YOR298W', 'YPR139C']"
1-acylglycerophosphocholine O-acyltransferase activity,3,"['YDL052C', 'YOR175C', 'YPR140W']"
1-phosphatidylinositol 4-kinase activity,4,"['YJL100W', 'YKL203C', 'YLR305C', 'YNL267W']"
1-phosphatidylinositol binding,3,"['YCR002C', 'YGR241C', 'YHR161C']"
1-phosphatidylinositol-3-kinase activity,1,['YLR240W']
1-phosphatidylinositol-3-phosphate 5-kinase activity,1,['YFR019W']
1-phosphatidylinositol-4-phosphate 5-kinase activity,1,['YDR208W']
1-pyrroline-5-carboxylate dehydrogenase activity,1,['YHR037W']
17-beta-hydroxysteroid dehydrogenase (NAD+) activity,1,['YKR009C']
18S rRNA (adenine(1779)-N(6)/adenine(1780)-N(6))-dimethyltransferase activity,1,['YPL266W']
"2 iron, 2 sulfur cluster binding",18,"['YBR014C', 'YDL010W', 'YDL120W', 'YDR098C', 'YEL024W', 'YER174C', 'YGL220W', 'YGR286C', 'YKL195W', 'YKR071C', 'YLL027W', 'YLL041C', 'YOR226C', 'YPL059W', 'YPL135W', 'YPL252C', 'YPR002W', 'YPR067W']"
"2',3'-cyclic-nucleotide 3'-phosphodiesterase activity",2,"['YGR247W', 'YJL087C']"
"2,3-diketo-5-methylthiopentyl-1-phosphate enolase activity",1,['YEL038W']
"2,4-dienoyl-CoA reductase (NADPH) activity",1,['YNL202W']
"2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate deaminase activity",1,['YOL066C']
2-acylglycerol O-acyltransferase activity,1,['YOR245C']
2-alkenal reductase [NAD(P)] activity,1,['YBR046C']
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity,1,['YNL256W']
2-aminoadipate transaminase activity,4,"['YER152C', 'YGL202W', 'YHR137W', 'YJL060W']"
2-dehydropantoate 2-reductase activity,2,"['YDR197W', 'YHR063C']"
2-deoxyglucose-6-phosphatase activity,2,"['YHR043C', 'YHR044C']"
"2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity",1,['YML110C']
2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase activity,1,['YEL038W']
2-isopropylmalate synthase activity,2,"['YNL104C', 'YOR108W']"
2-methylcitrate dehydratase activity,1,['YPR002W']
2-methylcitrate synthase activity,1,['YPR001W']
"2-octaprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity",1,['YML110C']
2-octaprenyl-6-methoxyphenol hydroxylase activity,1,['YGR255C']
"2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone hydroxylase activity",1,['YOR125C']
"2-polyprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity",1,['YOL096C']
"3 iron, 4 sulfur cluster binding",2,"['YDL171C', 'YLL041C']"
"3'(2'),5'-bisphosphate nucleotidase activity",1,['YOL064C']
"3',5'-cyclic-AMP phosphodiesterase activity",2,"['YGL248W', 'YOR360C']"
"3',5'-cyclic-GMP phosphodiesterase activity",1,['YGL248W']
"3',5'-cyclic-nucleotide phosphodiesterase activity",2,"['YGL248W', 'YOR360C']"
3'-5' DNA helicase activity,14,"['YBL023C', 'YBR202W', 'YDR190C', 'YDR291W', 'YGL150C', 'YGL201C', 'YIL143C', 'YIR002C', 'YJL092W', 'YLR274W', 'YMR190C', 'YOL095C', 'YPL235W', 'YPR019W']"
3'-5' RNA helicase activity,3,"['YDL175C', 'YJL050W', 'YOL115W']"
3'-5' exonuclease activity,9,"['YBL019W', 'YGR276C', 'YLR059C', 'YLR107W', 'YMR224C', 'YOL080C', 'YOR001W', 'YOR330C', 'YPL167C']"
3'-5'-exodeoxyribonuclease activity,3,"['YBL055C', 'YDL102W', 'YMR224C']"
3'-5'-exoribonuclease activity,13,"['YAL021C', 'YDR293C', 'YGR276C', 'YLR059C', 'YLR107W', 'YLR132C', 'YML118W', 'YMR285C', 'YMR287C', 'YNR052C', 'YOL021C', 'YOL042W', 'YOR001W']"
3'-flap endonuclease activity,1,['YDR386W']
3'-flap-structured DNA binding,1,['YAL027W']
3'-phosphoadenosine 5'-phosphosulfate transmembrane transporter activity,1,['YPR011C']
3'-tRNA processing endoribonuclease activity,1,['YKR079C']
3'-tyrosyl-DNA phosphodiesterase activity,2,"['YBR223C', 'YKL114C']"
"3,4-dihydroxy-2-butanone-4-phosphate synthase activity",1,['YDR487C']
3-beta-hydroxy-delta5-steroid dehydrogenase activity,2,"['YGL001C', 'YOL151W']"
3-dehydroquinate dehydratase activity,1,['YDR127W']
3-dehydroquinate synthase activity,1,['YDR127W']
3-dehydrosphinganine reductase activity,1,['YBR265W']
3-demethylubiquinone-6 3-O-methyltransferase activity,1,['YOL096C']
3-demethylubiquinone-9 3-O-methyltransferase activity,1,['YOL096C']
3-deoxy-7-phosphoheptulonate synthase activity,2,"['YBR249C', 'YDR035W']"
3-hydroxy-arachidoyl-CoA dehydratase activity,1,['YJL097W']
3-hydroxy-behenoyl-CoA dehydratase activity,1,['YJL097W']
3-hydroxy-lignoceroyl-CoA dehydratase activity,1,['YJL097W']
3-hydroxyacyl-CoA dehydratase activity,1,['YJL097W']
3-hydroxyacyl-CoA dehydrogenase activity,1,['YKR009C']
3-hydroxyacyl-[acyl-carrier-protein] dehydratase activity,2,"['YHR067W', 'YKL182W']"
"3-hydroxyanthranilate 3,4-dioxygenase activity",1,['YJR025C']
3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase activity,1,['YKL182W']
3-hydroxyisobutyryl-CoA hydrolase activity,1,['YDR036C']
3-hydroxyoctanoyl-[acyl-carrier-protein] dehydratase activity,1,['YKL182W']
3-hydroxypalmitoyl-[acyl-carrier-protein] dehydratase activity,1,['YKL182W']
3-isopropylmalate dehydratase activity,1,['YGL009C']
3-isopropylmalate dehydrogenase activity,1,['YCL018W']
3-keto sterol reductase activity,1,['YLR100W']
3-methyl-2-oxobutanoate hydroxymethyltransferase activity,1,['YBR176W']
3-methylbutanol:NAD(P) oxidoreductase activity,1,['YOL151W']
3-oxo-5-alpha-steroid 4-dehydrogenase activity,1,['YIL049W']
3-oxo-arachidoyl-CoA reductase activity,1,['YBR159W']
3-oxo-behenoyl-CoA reductase activity,1,['YBR159W']
3-oxo-cerotoyl-CoA reductase activity,1,['YBR159W']
3-oxo-lignoceroyl-CoA reductase activity,1,['YBR159W']
3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity,2,"['YKL055C', 'YPL231W']"
3-oxoacyl-[acyl-carrier-protein] synthase activity,2,"['YER061C', 'YPL231W']"
3-phosphoshikimate 1-carboxyvinyltransferase activity,1,['YDR127W']
"4 iron, 4 sulfur cluster binding",27,"['YBR163W', 'YDL102W', 'YDR234W', 'YER171W', 'YGL009C', 'YGL091C', 'YGR286C', 'YHR164C', 'YIL003W', 'YJL200C', 'YJR016C', 'YJR137C', 'YKL040C', 'YKL045W', 'YKR071C', 'YLL041C', 'YLR304C', 'YNL102W', 'YNL240C', 'YNL262W', 'YOL043C', 'YOR196C', 'YOR356W', 'YPL086C', 'YPL167C', 'YPL207W', 'YPR067W']"
4-alpha-glucanotransferase activity,1,['YPR184W']
4-alpha-hydroxytetrahydrobiopterin dehydratase activity,1,['YHL018W']
4-amino-4-deoxychorismate lyase activity,1,['YMR289W']
4-amino-4-deoxychorismate synthase activity,1,['YNR033W']
4-aminobutyrate transaminase activity,1,['YGR019W']
4-aminobutyrate:2-oxoglutarate transaminase activity,1,['YGR019W']
4-hydroxy-4-methyl-2-oxoglutarate aldolase activity,1,['YER010C']
4-hydroxybenzaldehyde dehydrogenase activity,1,['YMR110C']
4-hydroxybenzoate decaprenyltransferase activity,1,['YNR041C']
4-hydroxybenzoate nonaprenyltransferase activity,1,['YNR041C']
4-hydroxybenzoate octaprenyltransferase activity,1,['YNR041C']
4-hydroxyphenylpyruvate decarboxylase activity,1,['YDR380W']
4alpha-carboxy-4beta-methyl-5alpha-cholesta-8-en-3beta-ol:NAD(P)+ 3-oxidoreductase (decarboxylating) activity,1,['YGL001C']
